"","Random.Nr","Tube.Nr","Factor.Num","Factor.Spec","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA"
"1",1,261,0,"Control",0.0032625,0.3664875,0.845205,1.365465,0.68234,5.59,0.531446541
"2",2,258,0,"Control",0.00435,0.3342975,1.174065,1.294995,0.65788,5.85,0.546583851
"3",3,191,1,"Insect",0,0.34539,0.96222,1.554255,0.65155,5.73,0.529230769
"4",5,172,1,"AntiB",0.0097875,0.3295125,1.00659,1.43202,0.64415,5.81,0.56119403
"5",8,151,1,"PFAS",0.0050025,0.364095,1.054005,NA,0.64225,5.59,0.563291139
"6",9,260,0,"Control",0.0015225,0.324075,1.215825,1.550775,0.64724,5.67,0.67752443
"7",10,250,0,"Control",0.00261,0.3151575,0.999195,1.486395,0.65977,5.61,0.6
"8",14,252,0,"Control",0.001305,0.35844,1.05009,1.53381,0.67364,5.67,0.616519174
"9",15,202,1,"Surf",0.0028275,0.325815,1.00137,1.42506,0.60993,5.63,0.6875
"10",17,188,1,"Herb",0.0002175,0.2958,1.879635,1.288905,0.67806,5.64,0.48603352
"11",21,198,1,"Insect",0.0006525,0.396285,1.107075,1.699545,0.65873,5.71,0.523809524
"12",28,218,1,"Salin",0.00174,0.4169475,1.157535,0.98745,0.62915,6.72,0.55393586
"13",30,173,1,"AntiB",0.00087,0.347565,1.110555,1.20147,0.60871,5.64,0.582554517
"14",31,190,1,"Herb",0.0015225,0.3369075,0.98571,1.607325,0.63761,5.85,0.692789969
"15",32,163,1,"MP",0.001305,0.4578375,1.19625,1.20234,0.65144,5.97,0.527272727
"16",34,264,0,"Control",NA,0.390195,0.883485,1.517715,0.71235,5.68,0.625
"17",37,159,1,"MP",NA,0.348,0.892185,1.440285,0.66489,5.86,0.605095541
"18",41,241,1,"Drought",0.0076125,0.30276,1.459425,1.510755,0.67691,6.64,0.554098361
"19",44,240,1,"Drought",0.0067425,0.257955,0.83346,1.259325,0.67864,6.09,0.458471761
"20",47,230,1,"Cu",0.0006525,NA,0.62118,1.14579,0.69127,5.58,0.635451505
"21",48,180,1,"Fung",0.0006525,0.1228875,0.490245,1.32066,0.65951,5.83,0.624584718
"22",54,216,1,"Salin",0.8758725,0.43848,1.43463,1.61211,0.63108,6.86,0.4
"23",57,256,0,"Control",0.300585,0.23055,0.88305,1.57209,0.60107,5.54,0.56379822
"24",58,234,1,"Li",0.3342975,0.216195,1.32153,1.585575,0.66533,5.71,0.565217391
"25",59,174,1,"AntiB",0.3917175,0.224025,1.20582,1.63734,0.68731,5.65,0.63141994
"26",60,224,1,"Cu",0.234465,0.139635,0.97005,1.58166,0.63745,5.61,0.630094044
"27",61,176,1,"Fung",0.177045,0.2620875,0.97179,1.45203,0.68674,5.3,0.543973941
"28",62,273,0,"Water Control",0.2860125,0.2629575,1.21887,1.61559,0.63901,6.4,0.472312704
"29",63,275,0,"Water Control",0.2242425,0.2586075,1.342845,1.53642,0.61635,6.31,0.521172638
"30",64,247,0,"Control",0.25752,0.123975,1.17624,1.405485,0.69367,5.78,0.566343042
"31",65,154,1,"PFAS",0.411945,0.27057,0.90915,1.529025,0.65896,5.91,0.523333333
"32",67,199,1,"Surf",0.294495,0.37845,1.214085,1.42158,0.65821,5.65,0.487654321
"33",69,152,1,"PFAS",0.357135,0.29493,0.89088,1.738695,0.59888,5.64,0.448387097
"34",70,192,1,"Insect",0.3721425,0.40629,1.21887,1.76175,0.65302,5.63,0.568493151
"35",75,233,1,"Li",0.1198425,0.2312025,0.79953,0.98136,0.6274,6.34,0.508361204
"36",83,209,1,"Nit",0.27057,0.1877025,0.687735,1.238445,0.66909,5.65,0.539184953
"37",85,220,1,"Salin",0.6988275,0.4286925,1.566,1.75914,0.65829,6.77,0.468656716
"38",88,203,1,"Surf",0.37932,0.3299475,1.047045,1.4616,0.67275,5.63,0.479099678
"39",90,236,1,"Li",0.40977,0.3242925,1.050525,1.28934,0.63706,5.45,0.508196721
"40",92,271,0,"Water Control",0.277965,0.3908475,1.762185,1.32414,0.6991,6.21,0.664473684
"41",93,162,1,"MP",0.2733975,0.1455075,0.800835,1.462905,0.66003,5.98,0.551839465
"42",94,160,1,"MP",0.2703525,0.2198925,0.852165,1.34067,0.63894,5.89,0.549839228
"43",97,161,1,"MP",0.3851925,0.2542575,1.55208,1.489005,0.61916,5.64,0.601246106
"44",98,165,1,"MP",0.4073775,0.36888,1.27194,1.372425,0.62674,5.65,0.595155709
"45",105,164,1,"MP",0.33321,0.1772625,1.05705,1.38678,0.63716,5.4,0.566037736
"46",106,169,1,"AntiB",0.3586575,0.371055,1.07967,1.5225,0.65895,5.66,0.546925566
"47",107,221,1,"Salin",0.567675,0.3734475,1.364595,1.54251,0.63909,6.54,0.446153846
"48",108,158,1,"PFAS",0.3704025,0.237945,1.01036,1.377645,0.65995,5.71,0.541254125
"49",109,267,0,"Water Control",0.51939,0.2416425,1.10664,1.023555,0.63424,6.17,0.385579937
"50",113,166,1,"MP",0.33582,0.381495,1.094025,1.26411,0.69033,5.71,0.710526316
"51",116,270,0,"Water Control",0.324945,0.372795,1.13796,1.48074,0.66488,6.12,0.593272171
"52",118,215,1,"Salin",0.6866475,0.40977,1.549905,1.768275,0.63928,6.35,0.29022082
"53",119,205,1,"Surf",0.4012875,0.389325,1.172325,1.464645,0.6314,5.52,0.574132492
"54",126,186,1,"Herb",0.244905,0.298845,1.01442,1.214085,0.66018,5.75,0.490131579
"55",130,257,0,"Control",0.3630075,0.3134175,1.10664,1.62603,0.67227,5.39,0.665644172
"56",132,211,1,"Salin",0.445875,0.3567,0.915675,1.48857,0.67003,5.63,0.599388379
"57",134,175,1,"Fung",0.4717575,0.39324,1.052265,1.260195,0.67888,5.87,0.50617284
"58",135,253,0,"Control",0.2842725,0.3208125,1.040955,1.492485,0.647,5.56,0.510769231
"59",138,153,1,"PFAS",0.395415,0.30798,1.0005,1.37199,0.69726,NA,0.506622517
"60",141,178,1,"Fung",0.3512625,0.2803575,0.90045,1.358505,0.72301,6.12,0.536912752
"61",142,225,1,"Cu",0.34626,0.2825325,0.93786,1.25019,0.63945,5.69,0.444444444
"62",143,204,1,"Surf",0.38802,0.3338625,0.96222,1.170585,0.65496,5.62,0.447098976
"63",144,245,1,"Drought",0.7779975,0.30972,1.32675,0.97962,0.67666,6.28,0.402515723
"64",146,259,0,"Control",0.9602625,0.312765,1.18755,1.4007,0.67683,5.16,0.606451613
"65",147,184,1,"Herb",0.3399525,0.268395,0.97614,1.326315,0.69319,5.64,0.503333333
"66",150,231,1,"Li",0.1650825,0.1328925,0.76038,1.167975,0.6752,5.78,0.62987013
"67",151,179,1,"Fung",0.261,0.0415425,0.95526,1.021815,0.68906,5.69,0.645051195
"68",152,194,1,"Insect",0.3016725,0.2429475,0.420645,1.14231,0.6762,5.73,0.541254125
"69",154,232,1,"Li",0.0045675,0.003045,0.02001,0.029145,0.65311,5.43,0.62745098
"70",155,217,1,"Salin",0.5935575,0.312765,1.215825,1.670835,0.63243,6.38,0.460750853
"71",157,185,1,"Herb",0.374535,0.2220675,1.3224,1.426365,0.75702,5.84,0.549206349
"72",158,193,1,"Insect",0.3393,0.17574,1.123605,1.41723,0.65611,5.82,0.675767918
"73",159,263,0,"Control",0.3915,0.1703025,1.17189,1.52163,0.6783,5.46,0.765536723
"74",161,207,1,"Nit",0.3334275,0.3886725,1.26237,1.37721,0.64178,5.75,0.449180328
"75",166,182,1,"Fung",0.40194,0.3608325,1.167975,1.24149,0.69431,5.91,0.533333333
"76",168,170,1,"AntiB",0.3973725,0.41238,1.0266,1.277595,0.65002,5.47,0.610561056
"77",172,155,1,"PFAS",0.338865,0.29928,1.10142,1.410705,0.66589,5.73,0.521311475
"78",174,262,0,"Control",0.3934575,0.3708375,1.174935,1.27107,0.65919,5.72,0.536184211
"79",175,226,1,"Cu",0.358875,0.3269025,1.224525,1.248015,0.65863,5.62,0.665634675
"80",176,210,1,"Nit",0.3577875,0.34104,1.058355,1.24584,0.70275,5.59,0.638554217
"81",177,235,1,"Li",0.3834525,0.2503425,1.12665,1.636905,0.65278,5.47,0.670926518
"82",180,156,1,"PFAS",0.22011,0.1998825,0.67251,1.238445,NA,5.97,0.666666667
"83",181,254,0,"Control",0.34626,0.2159775,0.900015,1.796985,0.65643,5.67,0.591772152
"84",183,268,0,"Water Control",0.182265,0.29232,1.128825,1.641255,0.68769,6.15,0.525974026
"85",184,208,1,"Nit",0.23229,0.132675,1.722165,1.48335,0.64049,5.69,0.601286174
"86",189,272,0,"Water Control",0.3360375,0.3242925,1.062705,1.59993,0.64465,6.29,0.524115756
"87",192,249,0,"Control",0.4134675,0.3486525,1.217565,1.855275,0.6435,5.87,0.553333333
"88",194,251,0,"Control",0.0023925,0.000435,1.328055,1.26759,0.68852,5.75,0.685618729
"89",195,214,1,"Nit",0.003915,NA,0.64554,1.61124,0.64269,5.8,0.617088608
"90",197,228,1,"Cu",0.00174,NA,1.32501,1.619505,0.67819,5.7,0.506097561
"91",198,237,1,"Li",0.00609,NA,1.46682,1.6008,0.66453,5.84,0.594855305
"92",199,168,1,"AntiB",0.0015225,0.000435,1.268895,1.56252,0.68227,5.67,NA
"93",201,219,1,"Salin",0.0032625,NA,2.06799,2.10192,0.64745,5.61,0.521472393
"94",203,197,1,"Insect",0.0050025,0.0045675,1.44333,1.93401,0.67451,5.64,0.58125
"95",204,189,1,"Herb",NA,0.0058725,1.1049,1.50249,0.67136,5.74,0.695512821
"96",207,206,1,"Surf",0.0045675,0.0023925,1.267155,1.75392,0.58822,5.73,0.464163823
"97",208,222,1,"Salin",NA,NA,1.792635,2.10105,0.65513,6.89,0.348214286
"98",212,239,1,"Drought",0.002175,0.004785,1.74174,1.9401,0.67143,6.23,0.598130841
"99",214,243,1,"Drought",0.002175,0.0110925,2.313765,1.84614,0.64997,6.75,0.498305085
"100",215,187,1,"Herb",NA,NA,1.44246,1.715205,0.69554,5.56,0.653495441
"101",221,238,1,"Li",NA,NA,0.85521,1.59645,0.68275,5.75,0.735973597
"102",224,274,0,"Water Control",0.0045675,0.00174,0.602475,1.957065,0.65498,6.32,0.523961661
"103",234,229,1,"Cu",NA,NA,0.9744,1.438545,0.69335,5.66,0.626198083
"104",237,195,1,"Insect",0.0023925,0.001305,1.00659,1.60341,0.62466,5.35,0.572327044
"105",240,269,0,"Water Control",0.0002175,0.001305,1.003545,1.534245,0.6614,5.88,0.620178042
"106",241,255,0,"Control",0,0.0002175,NA,NA,0.65444,5.59,0.568493151
"107",242,246,1,"Drought",NA,0.003915,0,0.008265,0.69494,6.69,0.304985337
"108",243,276,0,"Water Control",0.0023925,0.001305,0.006525,NA,0.65592,6.05,0.556634304
"109",245,266,0,"Control",NA,NA,0.003045,NA,0.63915,5.49,0.736842105
"110",246,201,1,"Salin",0.000435,0.0023925,0.006525,NA,0.6649,5.68,0.586092715
"111",248,183,1,"Herb",0.0045675,0.0023925,0.426735,NA,0.61261,5.7,0.810897436
"112",250,265,0,"Control",0.0023925,NA,NA,0.006525,0.68437,5.77,0.50798722
"113",252,213,1,"Nit",NA,0.0019575,NA,0.02088,0.63787,5.78,0.752321981
"114",253,177,1,"Fung",NA,0.003045,0.00348,0.012615,0.68252,5.82,NA
"115",254,167,1,"AntiB",0.0002175,0.0032625,0.006525,0.013485,0.67464,5.65,0.59025788
"116",255,248,0,"Control",NA,0.00261,0,0.00696,0.61862,5.55,0.669590643
"117",257,244,1,"Drought",NA,NA,NA,NA,0.64712,6.57,0.416666667
"118",258,227,1,"Cu",0.00087,0,NA,0.00348,0.6565,5.69,0.549839228
"119",261,181,1,"Fung",NA,NA,NA,NA,0.71047,5.74,0.745980707
"120",262,223,1,"Cu",0.0032625,0.0045675,0.00522,0.00783,0.67624,5.65,0.587662338
"121",264,171,1,"AntiB",0.00174,0.005655,0,NA,0.67,5.6,0.590909091
"122",267,212,1,"Nit",NA,0.0054375,NA,NA,0.68253,5.79,0.493377483
"123",268,196,1,"Insect",NA,0,NA,0.01131,NA,5.53,0.568181818
